,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,,0.031273,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-31,2020-09-25,WGS84,None,12,0.042,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,22,92.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
1,,0.030583,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-30,2020-09-25,WGS84,None,16,0.041,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
2,,0.030375,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-29,2020-09-25,WGS84,None,14,0.043,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
3,,0.036875,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-28,2020-09-25,WGS84,None,15,0.065,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
4,,0.039727,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-27,2020-09-25,WGS84,None,11,0.077,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,22,92.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
5,,0.040542,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-26,2020-09-25,WGS84,None,13,0.076,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
6,,0.038125,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-25,2020-09-25,WGS84,None,14,0.072,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
7,,0.034292,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-24,2020-09-25,WGS84,None,17,0.055,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
8,,0.035364,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-23,2020-09-25,WGS84,None,17,0.05,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,22,92.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
9,,0.034667,"Sacramento--Roseville--Arden-Arcade, CA",40900,Arden-Arcade,Sacramento,067,2020-05-22,2020-09-25,WGS84,None,15,0.053,38.613779,Sacramento-Del Paso Manor,-121.368014,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,087,24,100.0,Ozone,44201,1,Ozone 1-hour 1979,1 HOUR,"DEL PASO-2701 AVALON DR, SACRAMENTO",0006,California,06,Parts per million,Y
