,aqi,arithmetic_mean,cbsa,cbsa_code,city,county,county_code,date_local,date_of_last_change,datum,event_type,first_max_hour,first_max_value,latitude,local_site_name,longitude,method,method_code,observation_count,observation_percent,parameter,parameter_code,poc,pollutant_standard,sample_duration,site_address,site_number,state,state_code,units_of_measure,validity_indicator
0,,0.068182,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-31,2020-08-26,WGS84,None,7,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,22,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
1,,0.065217,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-31,2020-08-26,WGS84,Included,7,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,23,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
2,,0.068182,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-31,2020-08-26,WGS84,Excluded,7,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,22,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
3,,0.040909,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-30,2020-08-26,WGS84,None,9,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,22,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
4,,0.03913,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-30,2020-08-26,WGS84,Included,9,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,23,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
5,,0.040909,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-30,2020-08-26,WGS84,Excluded,9,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,22,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
6,,0.045455,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-29,2020-08-26,WGS84,None,7,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,22,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
7,,0.043478,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-29,2020-08-26,WGS84,Included,7,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,23,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
8,,0.045455,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-29,2020-08-26,WGS84,Excluded,7,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,22,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
9,,0.05,"Santa Maria-Santa Barbara, CA",42200,Capitan,Santa Barbara,083,2020-05-28,2020-08-26,WGS84,None,6,0.1,34.48974,Los Flores Canyon #1,-120.04692,INSTRUMENTAL - NONDISPERSIVE INFRARED,054,22,96.0,Carbon monoxide,42101,1,CO 1-hour 1971,1 HOUR,LFC #1-LAS FLORES CANYON,1025,California,06,Parts per million,Y
