Date,Death,Infected,I_diff,D_diff
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,0,0,0,0
1/25/2020,0,0,0,0
1/26/2020,0,0,0,0
1/27/2020,0,0,0,0
1/28/2020,0,0,0,0
1/29/2020,0,0,0,0
1/30/2020,0,0,0,0
1/31/2020,0,0,0,0
2/1/2020,0,0,0,0
2/2/2020,0,0,0,0
2/3/2020,0,0,0,0
2/4/2020,0,0,0,0
2/5/2020,0,0,0,0
2/6/2020,0,0,0,0
2/7/2020,0,0,0,0
2/8/2020,0,0,0,0
2/9/2020,0,0,0,0
2/10/2020,0,0,0,0
2/11/2020,0,0,0,0
2/12/2020,0,0,0,0
2/13/2020,0,0,0,0
2/14/2020,0,0,0,0
2/15/2020,0,0,0,0
2/16/2020,0,0,0,0
2/17/2020,0,0,0,0
2/18/2020,0,0,0,0
2/19/2020,0,0,0,0
2/20/2020,0,0,0,0
2/21/2020,0,0,0,0
2/22/2020,0,0,0,0
2/23/2020,0,0,0,0
2/24/2020,0,0,0,0
2/25/2020,0,0,0,0
2/26/2020,0,0,0,0
2/27/2020,0,0,0,0
2/28/2020,0,0,0,0
2/29/2020,0,0,0,0
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,0,0,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,0,0,0
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,0,0,0,0
3/13/2020,0,0,0,0
3/14/2020,0,0,0,0
3/15/2020,0,0,0,0
3/16/2020,0,2,2,0
3/17/2020,0,4,2,0
3/18/2020,0,4,0,0
3/19/2020,0,13,9,0
3/20/2020,0,15,2,0
3/21/2020,0,15,0,0
3/22/2020,0,21,6,0
3/23/2020,0,29,8,0
3/24/2020,0,29,0,0
3/25/2020,0,38,9,0
3/26/2020,0,41,3,0
3/27/2020,0,50,9,0
3/28/2020,0,73,23,0
3/29/2020,0,99,26,0
3/30/2020,0,105,6,0
3/31/2020,0,136,31,0
4/1/2020,1,153,17,1
4/2/2020,2,171,18,1
4/3/2020,2,214,43,0
4/4/2020,2,234,20,0
4/5/2020,2,259,25,0
4/6/2020,3,268,9,1
4/7/2020,3,296,28,0
4/8/2020,3,336,40,0
4/9/2020,3,351,15,0
4/10/2020,3,374,23,0
4/11/2020,3,400,26,0
4/12/2020,3,406,6,0
4/13/2020,3,411,5,0
4/14/2020,3,437,26,0
4/15/2020,3,482,45,0
4/16/2020,3,514,32,0
4/17/2020,4,545,31,1
4/18/2020,4,574,29,0
4/19/2020,5,592,18,1
4/20/2020,5,606,14,0
4/21/2020,5,640,34,0
4/22/2020,6,660,20,1
4/23/2020,6,694,34,0
4/24/2020,7,708,14,1
4/25/2020,8,722,14,1
4/26/2020,8,722,0,0
4/27/2020,8,725,3,0
4/28/2020,8,728,3,0
4/29/2020,9,746,18,1
4/30/2020,9,746,0,0
5/1/2020,9,778,32,0
5/2/2020,9,778,0,0
5/3/2020,9,790,12,0
5/4/2020,9,790,0,0
5/5/2020,9,808,18,0
5/6/2020,10,942,134,1
5/7/2020,10,942,0,0
5/8/2020,11,1110,168,1
5/9/2020,12,1250,140,1
5/10/2020,12,1250,0,0
5/11/2020,12,1362,112,0
5/12/2020,12,1371,9,0
5/13/2020,12,1371,0,0
5/14/2020,12,1387,16,0
5/15/2020,12,1387,0,0
5/16/2020,12,1418,31,0
5/17/2020,12,1474,56,0
5/18/2020,12,1474,0,0
5/19/2020,12,1517,43,0
5/20/2020,12,1520,3,0
5/21/2020,12,1520,0,0
